Date,oil_production
11/18/11,5887
11/11/11,5894
11/4/11,5846
10/28/11,5818
10/21/11,5876
10/14/11,5891
10/7/11,5878
9/30/11,5800
9/23/11,5756
9/16/11,5747
9/9/11,5083
9/2/11,5642
8/26/11,5598
8/19/11,5591
8/12/11,5561
8/5/11,5529
7/29/11,5523
7/22/11,5377
7/15/11,5591
7/8/11,5578
7/1/11,5520
6/24/11,5593
6/17/11,5650
6/10/11,5643
6/3/11,5633
5/27/11,5609
5/20/11,5583
5/13/11,5618
5/6/11,5609
4/29/11,5623
4/22/11,5610
4/15/11,5625
4/8/11,5635
4/1/11,5638
3/25/11,5568
3/18/11,5570
3/11/11,5591
3/4/11,5593
2/25/11,5591
2/18/11,5604
2/11/11,5610
2/4/11,5597
1/28/11,5568
1/21/11,5321
1/14/11,5205
1/7/11,5575
12/31/10,5598
12/24/10,5575
12/17/10,5598
12/10/10,5604
12/3/10,5582
11/26/10,5555
11/19/10,5581
11/12/10,5597
11/5/10,5596
10/29/10,5593
10/22/10,5540
10/15/10,5536
10/8/10,5528
10/1/10,5514
9/24/10,5562
9/17/10,5556
9/10/10,5573
9/3/10,5603
8/27/10,5602
8/20/10,5511
8/13/10,5352
8/6/10,5239
7/30/10,5440
7/23/10,5486
7/16/10,5460
7/9/10,5352
7/2/10,5414
6/25/10,5257
6/18/10,5501
6/11/10,5503
6/4/10,5445
5/28/10,5320
5/21/10,5540
5/14/10,5516
5/7/10,5533
4/30/10,5522
4/23/10,5488
4/16/10,5466
4/9/10,5475
4/2/10,5473
3/26/10,5489
3/19/10,5536
3/12/10,5540
3/5/10,5527
2/26/10,5510
2/19/10,5505
2/12/10,5482
2/5/10,5475
1/29/10,5403
1/22/10,5421
1/15/10,5404
1/8/10,5496
1/1/10,5507
12/25/09,5512
12/18/09,5524
12/11/09,5524
12/4/09,5538
11/27/09,5561
11/20/09,5433
11/13/09,5317
11/6/09,5506
10/30/09,5391
10/23/09,5357
10/16/09,5371
10/9/09,5377
10/2/09,5360
9/25/09,5375
9/18/09,5300
9/11/09,5304
9/4/09,5266
8/28/09,5244
8/21/09,5173
8/14/09,5169
8/7/09,5172
7/31/09,5246
7/24/09,5107
7/17/09,5176
7/10/09,5171
7/3/09,5171
6/26/09,5163
6/19/09,5257
6/12/09,5273
