Date,crude_price
9/15/19,56.16
9/22/19,59.33
9/29/19,56.9
10/6/19,53.12
10/13/19,53.27
10/20/19,53.49
10/27/19,55.2
11/3/19,55.17
11/10/19,56.69
11/17/19,56.85
11/24/19,56.9
12/1/19,58.07
12/8/19,57.64
12/15/19,59.25
12/22/19,60.75
12/29/19,61.29
1/5/20,62.09
1/12/20,60.84
1/19/20,58.29
1/26/20,56.15
2/2/20,52.7
2/9/20,50.36
2/16/20,50.83
2/23/20,53.14
3/1/20,48.36
3/8/20,45.57
3/15/20,32.39
3/22/20,24.19
3/29/20,19.44
4/5/20,21.69
4/12/20,24.41
4/19/20,20.12
4/26/20,3.32
5/3/20,15.71
5/10/20,23.46
5/17/20,26.4
5/24/20,33.1
5/31/20,34.19
6/7/20,37.32
6/14/20,37.87
6/21/20,38.35
6/28/20,39.22
7/5/20,39.85
7/12/20,40.44
7/19/20,40.57
7/26/20,41.34
8/2/20,40.69
8/9/20,41.57
8/16/20,42.08
8/23/20,42.73
8/30/20,42.93
9/6/20,41.84
9/13/20,37.38
9/20/20,39.55
9/27/20,39.78
10/4/20,38.99
10/11/20,40.19
10/18/20,40.33
10/25/20,40.43
11/1/20,37.32
11/8/20,37.71
11/15/20,40.66
11/22/20,41.52
11/29/20,44.4
12/6/20,45.37
12/13/20,46.04
12/20/20,47.97
12/27/20,47.73
1/3/21,47.98
1/10/21,50.09
1/17/21,52.75
1/24/21,52.82
1/31/21,52.52
2/7/21,55.39
